,HK_ticker,HK_close,SH_ticker,SH_close,CNH/HKD,SH_adjclose,SH-HK
2015-01-07,0177.HK,9.3,600377.SH,7.58,0.8018,9.453729109503618,0.15372910950361707
2015-01-08,0177.HK,9.36,600377.SH,7.36,0.8013,9.185074254336703,-0.17492574566329644
2015-01-09,0177.HK,9.36,600377.SH,7.34,0.8017,9.15554446800549,-0.20445553199451005
2015-01-12,0177.HK,9.35,600377.SH,7.06,0.8011,8.812882286855572,-0.5371177131444274
2015-01-13,0177.HK,9.46,600377.SH,7.08,0.7998,8.852213053263316,-0.6077869467366845
2015-01-14,0177.HK,9.38,600377.SH,7.13,0.7995,8.918073796122577,-0.46192620387742345
2015-01-15,0177.HK,9.29,600377.SH,7.24,0.7992,9.05905905905906,-0.23094094094093975
2015-01-16,0177.HK,9.55,600377.SH,7.18,0.7983,8.994112489039209,-0.5558875109607921
2015-01-19,0177.HK,9.02,600377.SH,6.65,0.8034,8.277321384117501,-0.7426786158824985
2015-01-20,0177.HK,9.24,600377.SH,6.96,0.8028,8.66965620328849,-0.5703437967115104
2015-01-21,0177.HK,9.52,600377.SH,7.19,0.8024,8.960618145563311,-0.5593818544366886
2015-01-22,0177.HK,9.53,600377.SH,7.16,0.8018,8.92990770765777,-0.6000922923422287
2015-01-23,0177.HK,9.63,600377.SH,7.12,0.8012,8.88666999500749,-0.7433300049925116
2015-01-26,0177.HK,9.79,600377.SH,7.29,0.8049,9.057025717480434,-0.7329742825195655
2015-01-27,0177.HK,9.87,600377.SH,7.26,0.807,8.99628252788104,-0.87371747211896
2015-01-28,0177.HK,9.62,600377.SH,7.15,0.8055,8.876474239602732,-0.7435257603972669
2015-01-29,0177.HK,9.55,600377.SH,7.12,0.8066,8.827175799652863,-0.7228242003471372
2015-01-30,0177.HK,9.63,600377.SH,7.14,0.8071,8.846487424111015,-0.7835125758889863
2015-02-02,0177.HK,9.47,600377.SH,6.94,0.8089,8.579552478674744,-0.8904475213252567
2015-02-03,0177.HK,9.54,600377.SH,7.05,0.8088,8.716617210682493,-0.8233827893175061
2015-02-04,0177.HK,9.56,600377.SH,7.02,0.8086,8.681672025723472,-0.8783279742765284
2015-02-05,0177.HK,9.5,600377.SH,7.03,0.8061,8.721002357027665,-0.7789976429723353
2015-02-06,0177.HK,9.46,600377.SH,6.92,0.8064,8.581349206349206,-0.8786507936507952
2015-02-09,0177.HK,9.43,600377.SH,6.94,0.8053,8.617906370296785,-0.8120936297032149
2015-02-10,0177.HK,9.29,600377.SH,6.94,0.8059,8.611490259337387,-0.6785097406626122
2015-02-11,0177.HK,9.25,600377.SH,6.95,0.8058,8.624968974931745,-0.6250310250682549
2015-02-12,0177.HK,9.28,600377.SH,6.97,0.8057,8.650862603946878,-0.629137396053121
