,HK_ticker,HK_close,SH_ticker,SH_close,CNH/HKD,SH_adjclose,SH-HK
2015-01-07,0811.HK,6.28,601811.SH,,0.8018,,
2015-01-08,0811.HK,6.26,601811.SH,,0.8013,,
2015-01-09,0811.HK,6.29,601811.SH,,0.8017,,
2015-01-12,0811.HK,6.29,601811.SH,,0.8011,,
2015-01-13,0811.HK,6.38,601811.SH,,0.7998,,
2015-01-14,0811.HK,6.71,601811.SH,,0.7995,,
2015-01-15,0811.HK,6.58,601811.SH,,0.7992,,
2015-01-16,0811.HK,6.59,601811.SH,,0.7983,,
2015-01-19,0811.HK,6.34,601811.SH,,0.8034,,
2015-01-20,0811.HK,6.49,601811.SH,,0.8028,,
2015-01-21,0811.HK,6.59,601811.SH,,0.8024,,
2015-01-22,0811.HK,6.48,601811.SH,,0.8018,,
2015-01-23,0811.HK,6.54,601811.SH,,0.8012,,
2015-01-26,0811.HK,6.58,601811.SH,,0.8049,,
2015-01-27,0811.HK,6.51,601811.SH,,0.807,,
2015-01-28,0811.HK,6.9,601811.SH,,0.8055,,
2015-01-29,0811.HK,6.88,601811.SH,,0.8066,,
2015-01-30,0811.HK,7.03,601811.SH,,0.8071,,
2015-02-02,0811.HK,6.8,601811.SH,,0.8089,,
2015-02-03,0811.HK,6.87,601811.SH,,0.8088,,
2015-02-04,0811.HK,6.81,601811.SH,,0.8086,,
2015-02-05,0811.HK,6.75,601811.SH,,0.8061,,
2015-02-06,0811.HK,6.55,601811.SH,,0.8064,,
2015-02-09,0811.HK,6.49,601811.SH,,0.8053,,
2015-02-10,0811.HK,6.38,601811.SH,,0.8059,,
2015-02-11,0811.HK,6.28,601811.SH,,0.8058,,
2015-02-12,0811.HK,6.44,601811.SH,,0.8057,,
2015-02-13,0811.HK,6.48,601811.SH,,0.8055,,
2015-02-16,0811.HK,6.69,601811.SH,,0.8052,,
2015-02-17,0811.HK,6.72,601811.SH,,0.8082,,
2015-02-25,0811.HK,6.9,601811.SH,,0.8092,,
2015-02-26,0811.HK,6.94,601811.SH,,0.8086,,
2015-02-27,0811.HK,6.87,601811.SH,,0.8081,,
2015-03-02,0811.HK,6.93,601811.SH,,0.8109,,
2015-03-03,0811.HK,6.83,601811.SH,,0.8106,,
2015-03-04,0811.HK,6.88,601811.SH,,0.8103,,
2015-03-05,0811.HK,7.01,601811.SH,,0.8101,,
2015-03-06,0811.HK,7.25,601811.SH,,0.8094,,
2015-03-09,0811.HK,7.2,601811.SH,,0.8087,,
2015-03-10,0811.HK,7.2,601811.SH,,0.809,,
2015-03-11,0811.HK,6.79,601811.SH,,0.8087,,
2015-03-12,0811.HK,6.88,601811.SH,,0.809,,
2015-03-13,0811.HK,6.93,601811.SH,,0.808,,
2015-03-16,0811.HK,7.08,601811.SH,,0.809,,
2015-03-17,0811.HK,7.19,601811.SH,,0.8082,,
2015-03-18,0811.HK,7.18,601811.SH,,0.8051,,
2015-03-19,0811.HK,7.18,601811.SH,,0.804,,
2015-03-20,0811.HK,7.18,601811.SH,,0.8008,,
2015-03-23,0811.HK,7.17,601811.SH,,0.801,,
2015-03-24,0811.HK,7.2,601811.SH,,0.8007,,
2015-03-25,0811.HK,7.18,601811.SH,,0.8004,,
2015-03-26,0811.HK,7.31,601811.SH,,0.8012,,
2015-03-27,0811.HK,7.29,601811.SH,,0.801,,
2015-03-30,0811.HK,7.56,601811.SH,,0.8024,,
2015-03-31,0811.HK,7.56,601811.SH,,0.801,,
2015-04-01,0811.HK,7.55,601811.SH,,0.8002,,
2015-04-02,0811.HK,7.6,601811.SH,,0.8005,,
2015-04-03,0811.HK,7.6,601811.SH,,0.8005,,
2015-04-07,0811.HK,7.6,601811.SH,,0.8005,,
2015-04-08,0811.HK,8.29,601811.SH,,0.7996,,
2015-04-09,0811.HK,8.44,601811.SH,,0.8008,,
2015-04-10,0811.HK,8.67,601811.SH,,0.8018,,
2015-04-13,0811.HK,9.26,601811.SH,,0.8025,,
2015-04-14,0811.HK,9.17,601811.SH,,0.8034,,
2015-04-15,0811.HK,9.5,601811.SH,,0.8021,,
2015-04-16,0811.HK,9.3,601811.SH,,0.8007,,
2015-04-17,0811.HK,9.5,601811.SH,,0.7994,,
2015-04-20,0811.HK,9.16,601811.SH,,0.799,,
2015-04-21,0811.HK,9.33,601811.SH,,0.8001,,
2015-04-22,0811.HK,9.47,601811.SH,,0.7998,,
2015-04-23,0811.HK,9.5,601811.SH,,0.7989,,
2015-04-24,0811.HK,9.5,601811.SH,,0.7995,,
2015-04-27,0811.HK,9.82,601811.SH,,0.7994,,
2015-04-28,0811.HK,9.76,601811.SH,,0.8022,,
2015-04-29,0811.HK,9.76,601811.SH,,0.8008,,
2015-04-30,0811.HK,9.72,601811.SH,,0.8002,,
2015-05-04,0811.HK,9.83,601811.SH,,0.801,,
2015-05-05,0811.HK,9.72,601811.SH,,0.8014,,
2015-05-06,0811.HK,9.34,601811.SH,,0.8011,,
2015-05-07,0811.HK,9.1,601811.SH,,0.8004,,
2015-05-08,0811.HK,9.09,601811.SH,,0.8011,,
2015-05-11,0811.HK,9.56,601811.SH,,0.8011,,
2015-05-12,0811.HK,9.44,601811.SH,,0.8013,,
2015-05-13,0811.HK,10.12,601811.SH,,0.8009,,
2015-05-14,0811.HK,9.91,601811.SH,,0.8001,,
2015-05-15,0811.HK,10.72,601811.SH,,0.8,,
2015-05-18,0811.HK,10.4,601811.SH,,0.8008,,
2015-05-19,0811.HK,10.18,601811.SH,,0.8004,,
2015-05-20,0811.HK,10.26,601811.SH,,0.8008,,
2015-05-21,0811.HK,9.95,601811.SH,,0.8006,,
2015-05-22,0811.HK,10.04,601811.SH,,0.7996,,
2015-05-25,0811.HK,10.04,601811.SH,,0.7996,,
