,HK_ticker,HK_close,SH_ticker,SH_close,CNH/HKD,SH_adjclose,SH-HK
2015-01-07,2009.HK,7.3,601992.SH,10.06,0.8018,12.546769768021951,5.246769768021951
2015-01-08,2009.HK,7.19,601992.SH,9.85,0.8013,12.292524647447896,5.102524647447896
2015-01-09,2009.HK,7.34,601992.SH,9.98,0.8017,12.448546837969316,5.108546837969316
2015-01-12,2009.HK,7.14,601992.SH,9.56,0.8011,11.933591311946074,4.7935913119460745
2015-01-13,2009.HK,6.89,601992.SH,9.21,0.7998,11.51537884471118,4.62537884471118
2015-01-14,2009.HK,6.82,601992.SH,8.93,0.7995,11.169480925578487,4.3494809255784865
2015-01-15,2009.HK,6.84,601992.SH,9.44,0.7992,11.811811811811811,4.971811811811811
2015-01-16,2009.HK,6.83,601992.SH,9.39,0.7983,11.76249530251785,4.93249530251785
2015-01-19,2009.HK,6.39,601992.SH,9.13,0.8034,11.36420214090117,4.974202140901171
2015-01-20,2009.HK,6.58,601992.SH,9.68,0.8028,12.057797708021923,5.477797708021923
2015-01-21,2009.HK,6.78,601992.SH,9.89,0.8024,12.325523429710868,5.545523429710868
2015-01-22,2009.HK,6.95,601992.SH,9.84,0.8018,12.27238712895984,5.32238712895984
2015-01-23,2009.HK,6.98,601992.SH,10.16,0.8012,12.680978532201697,5.700978532201697
2015-01-26,2009.HK,6.87,601992.SH,10.36,0.8049,12.87116411976643,6.00116411976643
2015-01-27,2009.HK,6.85,601992.SH,10.05,0.807,12.453531598513012,5.603531598513012
2015-01-28,2009.HK,6.79,601992.SH,9.71,0.8055,12.054624456859095,5.264624456859095
2015-01-29,2009.HK,6.76,601992.SH,9.47,0.8066,11.7406397222911,4.9806397222911
2015-01-30,2009.HK,6.8,601992.SH,9.8,0.8071,12.142237640936687,5.342237640936687
2015-02-02,2009.HK,6.68,601992.SH,9.53,0.8089,11.781431573742118,5.1014315737421185
2015-02-03,2009.HK,6.78,601992.SH,9.51,0.8088,11.758160237388724,4.978160237388724
2015-02-04,2009.HK,6.7,601992.SH,9.5,0.8086,11.748701459312391,5.048701459312391
2015-02-05,2009.HK,6.77,601992.SH,9.33,0.8061,11.574246371417937,4.804246371417937
2015-02-06,2009.HK,6.55,601992.SH,9.09,0.8064,11.272321428571429,4.722321428571429
2015-02-09,2009.HK,6.42,601992.SH,9.06,0.8053,11.250465664969576,4.8304656649695765
2015-02-10,2009.HK,6.53,601992.SH,9.15,0.8059,11.353765975927535,4.823765975927535
2015-02-11,2009.HK,6.43,601992.SH,9.04,0.8058,11.218664681062299,4.788664681062299
2015-02-12,2009.HK,6.57,601992.SH,9.0,0.8057,11.17041082288693,4.60041082288693
2015-02-13,2009.HK,6.8,601992.SH,9.19,0.8055,11.409062693978894,4.609062693978895
2015-02-16,2009.HK,6.82,601992.SH,9.2,0.8052,11.425732737208145,4.605732737208145
2015-02-17,2009.HK,6.8,601992.SH,9.36,0.8082,11.581291759465477,4.781291759465478
2015-02-25,2009.HK,6.98,601992.SH,9.13,0.8092,11.282748393475037,4.302748393475037
2015-02-26,2009.HK,6.88,601992.SH,9.42,0.8086,11.649765025970813,4.7697650259708135
2015-02-27,2009.HK,6.79,601992.SH,9.63,0.8081,11.916841975003093,5.126841975003093
2015-03-02,2009.HK,6.9,601992.SH,9.62,0.8109,11.863361696880009,4.963361696880009
2015-03-03,2009.HK,6.49,601992.SH,9.32,0.8106,11.49765605724155,5.007656057241549
2015-03-04,2009.HK,6.36,601992.SH,9.37,0.8103,11.56361841293348,5.203618412933479
2015-03-05,2009.HK,6.27,601992.SH,9.18,0.8101,11.331934329095173,5.061934329095173
2015-03-06,2009.HK,6.24,601992.SH,9.1,0.8094,11.24289597232518,5.002895972325179
2015-03-09,2009.HK,6.18,601992.SH,9.18,0.8087,11.351551873377025,5.171551873377025
2015-03-10,2009.HK,6.2,601992.SH,9.14,0.809,11.297898640296662,5.097898640296662
2015-03-11,2009.HK,6.37,601992.SH,9.23,0.8087,11.413379497959689,5.043379497959688
