,HK_ticker,HK_close,SH_ticker,SH_close,CNH/HKD,SH_adjclose,SH-HK
2015-01-07,2359.HK,,603259.SH,,0.8018,,
2015-01-08,2359.HK,,603259.SH,,0.8013,,
2015-01-09,2359.HK,,603259.SH,,0.8017,,
2015-01-12,2359.HK,,603259.SH,,0.8011,,
2015-01-13,2359.HK,,603259.SH,,0.7998,,
2015-01-14,2359.HK,,603259.SH,,0.7995,,
2015-01-15,2359.HK,,603259.SH,,0.7992,,
2015-01-16,2359.HK,,603259.SH,,0.7983,,
2015-01-19,2359.HK,,603259.SH,,0.8034,,
2015-01-20,2359.HK,,603259.SH,,0.8028,,
2015-01-21,2359.HK,,603259.SH,,0.8024,,
2015-01-22,2359.HK,,603259.SH,,0.8018,,
2015-01-23,2359.HK,,603259.SH,,0.8012,,
2015-01-26,2359.HK,,603259.SH,,0.8049,,
2015-01-27,2359.HK,,603259.SH,,0.807,,
2015-01-28,2359.HK,,603259.SH,,0.8055,,
2015-01-29,2359.HK,,603259.SH,,0.8066,,
2015-01-30,2359.HK,,603259.SH,,0.8071,,
2015-02-02,2359.HK,,603259.SH,,0.8089,,
2015-02-03,2359.HK,,603259.SH,,0.8088,,
2015-02-04,2359.HK,,603259.SH,,0.8086,,
2015-02-05,2359.HK,,603259.SH,,0.8061,,
2015-02-06,2359.HK,,603259.SH,,0.8064,,
2015-02-09,2359.HK,,603259.SH,,0.8053,,
2015-02-10,2359.HK,,603259.SH,,0.8059,,
2015-02-11,2359.HK,,603259.SH,,0.8058,,
2015-02-12,2359.HK,,603259.SH,,0.8057,,
2015-02-13,2359.HK,,603259.SH,,0.8055,,
2015-02-16,2359.HK,,603259.SH,,0.8052,,
2015-02-17,2359.HK,,603259.SH,,0.8082,,
2015-02-25,2359.HK,,603259.SH,,0.8092,,
2015-02-26,2359.HK,,603259.SH,,0.8086,,
2015-02-27,2359.HK,,603259.SH,,0.8081,,
2015-03-02,2359.HK,,603259.SH,,0.8109,,
2015-03-03,2359.HK,,603259.SH,,0.8106,,
2015-03-04,2359.HK,,603259.SH,,0.8103,,
2015-03-05,2359.HK,,603259.SH,,0.8101,,
2015-03-06,2359.HK,,603259.SH,,0.8094,,
2015-03-09,2359.HK,,603259.SH,,0.8087,,
2015-03-10,2359.HK,,603259.SH,,0.809,,
2015-03-11,2359.HK,,603259.SH,,0.8087,,
2015-03-12,2359.HK,,603259.SH,,0.809,,
2015-03-13,2359.HK,,603259.SH,,0.808,,
2015-03-16,2359.HK,,603259.SH,,0.809,,
2015-03-17,2359.HK,,603259.SH,,0.8082,,
2015-03-18,2359.HK,,603259.SH,,0.8051,,
2015-03-19,2359.HK,,603259.SH,,0.804,,
2015-03-20,2359.HK,,603259.SH,,0.8008,,
2015-03-23,2359.HK,,603259.SH,,0.801,,
2015-03-24,2359.HK,,603259.SH,,0.8007,,
2015-03-25,2359.HK,,603259.SH,,0.8004,,
2015-03-26,2359.HK,,603259.SH,,0.8012,,
2015-03-27,2359.HK,,603259.SH,,0.801,,
2015-03-30,2359.HK,,603259.SH,,0.8024,,
2015-03-31,2359.HK,,603259.SH,,0.801,,
2015-04-01,2359.HK,,603259.SH,,0.8002,,
2015-04-02,2359.HK,,603259.SH,,0.8005,,
2015-04-03,2359.HK,,603259.SH,,0.8005,,
2015-04-07,2359.HK,,603259.SH,,0.8005,,
2015-04-08,2359.HK,,603259.SH,,0.7996,,
2015-04-09,2359.HK,,603259.SH,,0.8008,,
2015-04-10,2359.HK,,603259.SH,,0.8018,,
2015-04-13,2359.HK,,603259.SH,,0.8025,,
2015-04-14,2359.HK,,603259.SH,,0.8034,,
2015-04-15,2359.HK,,603259.SH,,0.8021,,
2015-04-16,2359.HK,,603259.SH,,0.8007,,
2015-04-17,2359.HK,,603259.SH,,0.7994,,
