,HK_ticker,HK_close,SH_ticker,SH_close,CNH/HKD,SH_adjclose,SH-HK
2015-01-07,6099.HK,,600999.SH,29.45,0.8018,36.72985781990521,
2015-01-08,6099.HK,,600999.SH,28.06,0.8013,35.018095594658675,
2015-01-09,6099.HK,,600999.SH,27.41,0.8017,34.18984657602595,
2015-01-12,6099.HK,,600999.SH,26.96,0.8011,33.65372612657596,
2015-01-13,6099.HK,,600999.SH,26.09,0.7998,32.62065516379095,
2015-01-14,6099.HK,,600999.SH,26.01,0.7995,32.5328330206379,
2015-01-15,6099.HK,,600999.SH,27.03,0.7992,33.82132132132132,
2015-01-16,6099.HK,,600999.SH,26.71,0.7983,33.458599523988475,
2015-01-19,6099.HK,,600999.SH,24.04,0.8034,29.922827981080406,
2015-01-20,6099.HK,,600999.SH,22.69,0.8028,28.263577478824118,
2015-01-21,6099.HK,,600999.SH,24.42,0.8024,30.433698903290132,
2015-01-22,6099.HK,,600999.SH,24.68,0.8018,30.780743327513097,
2015-01-23,6099.HK,,600999.SH,25.11,0.8012,31.340489266100846,
2015-01-26,6099.HK,,600999.SH,24.6,0.8049,30.56280283265002,
2015-01-27,6099.HK,,600999.SH,24.1,0.807,29.8636926889715,
2015-01-28,6099.HK,,600999.SH,24.2,0.8055,30.04345127250155,
2015-01-29,6099.HK,,600999.SH,23.54,0.8066,29.184230101661292,
2015-01-30,6099.HK,,600999.SH,23.46,0.8071,29.067030107793332,
2015-02-02,6099.HK,,600999.SH,24.16,0.8089,29.86772159723081,
2015-02-03,6099.HK,,600999.SH,24.9,0.8088,30.78635014836795,
2015-02-04,6099.HK,,600999.SH,25.59,0.8086,31.647291615137274,
2015-02-05,6099.HK,,600999.SH,27.67,0.8061,34.32576603399082,
2015-02-06,6099.HK,,600999.SH,26.74,0.8064,33.15972222222222,
2015-02-09,6099.HK,,600999.SH,27.69,0.8053,34.38470135353285,
2015-02-10,6099.HK,,600999.SH,27.53,0.8059,34.16056582702569,
2015-02-11,6099.HK,,600999.SH,27.2,0.8058,33.755274261603375,
2015-02-12,6099.HK,,600999.SH,27.36,0.8057,33.95804890157627,
2015-02-13,6099.HK,,600999.SH,27.01,0.8055,33.53196772191186,
2015-02-16,6099.HK,,600999.SH,26.58,0.8052,33.010432190760056,
2015-02-17,6099.HK,,600999.SH,26.62,0.8082,32.93739173471913,
2015-02-25,6099.HK,,600999.SH,26.04,0.8092,32.179930795847746,
2015-02-26,6099.HK,,600999.SH,28.53,0.8086,35.28320554044027,
2015-02-27,6099.HK,,600999.SH,27.81,0.8081,34.414057666130425,
2015-03-02,6099.HK,,600999.SH,27.85,0.8109,34.34455543223579,
2015-03-03,6099.HK,,600999.SH,26.6,0.8106,32.81519861830743,
2015-03-04,6099.HK,,600999.SH,26.68,0.8103,32.926076761693196,
2015-03-05,6099.HK,,600999.SH,26.8,0.8101,33.08233551413406,
2015-03-06,6099.HK,,600999.SH,26.71,0.8094,32.99975290338522,
2015-03-09,6099.HK,,600999.SH,25.54,0.8087,31.581550636824534,
2015-03-10,6099.HK,,600999.SH,25.34,0.809,31.322620519159454,
2015-03-11,6099.HK,,600999.SH,25.28,0.8087,31.260046988994684,
2015-03-12,6099.HK,,600999.SH,26.18,0.809,32.36093943139679,
2015-03-13,6099.HK,,600999.SH,26.14,0.808,32.35148514851485,
