,HK_ticker,HK_close,SH_ticker,SH_close,CNH/HKD,SH_adjclose,SH-HK
2015-01-07,3369.HK,3.64,601326.SH,,0.8018,,
2015-01-08,3369.HK,3.6,601326.SH,,0.8013,,
2015-01-09,3369.HK,3.61,601326.SH,,0.8017,,
2015-01-12,3369.HK,3.58,601326.SH,,0.8011,,
2015-01-13,3369.HK,3.6,601326.SH,,0.7998,,
2015-01-14,3369.HK,3.59,601326.SH,,0.7995,,
2015-01-15,3369.HK,3.57,601326.SH,,0.7992,,
2015-01-16,3369.HK,3.61,601326.SH,,0.7983,,
2015-01-19,3369.HK,3.56,601326.SH,,0.8034,,
2015-01-20,3369.HK,3.58,601326.SH,,0.8028,,
2015-01-21,3369.HK,3.6,601326.SH,,0.8024,,
2015-01-22,3369.HK,3.64,601326.SH,,0.8018,,
2015-01-23,3369.HK,3.64,601326.SH,,0.8012,,
2015-01-26,3369.HK,3.6,601326.SH,,0.8049,,
2015-01-27,3369.HK,3.62,601326.SH,,0.807,,
2015-01-28,3369.HK,3.53,601326.SH,,0.8055,,
2015-01-29,3369.HK,3.52,601326.SH,,0.8066,,
2015-01-30,3369.HK,3.52,601326.SH,,0.8071,,
2015-02-02,3369.HK,3.51,601326.SH,,0.8089,,
2015-02-03,3369.HK,3.6,601326.SH,,0.8088,,
2015-02-04,3369.HK,3.55,601326.SH,,0.8086,,
2015-02-05,3369.HK,3.54,601326.SH,,0.8061,,
2015-02-06,3369.HK,3.53,601326.SH,,0.8064,,
2015-02-09,3369.HK,3.52,601326.SH,,0.8053,,
2015-02-10,3369.HK,3.56,601326.SH,,0.8059,,
2015-02-11,3369.HK,3.53,601326.SH,,0.8058,,
2015-02-12,3369.HK,3.52,601326.SH,,0.8057,,
2015-02-13,3369.HK,3.59,601326.SH,,0.8055,,
2015-02-16,3369.HK,3.62,601326.SH,,0.8052,,
2015-02-17,3369.HK,3.58,601326.SH,,0.8082,,
2015-02-25,3369.HK,3.73,601326.SH,,0.8092,,
2015-02-26,3369.HK,3.68,601326.SH,,0.8086,,
2015-02-27,3369.HK,3.67,601326.SH,,0.8081,,
2015-03-02,3369.HK,3.6,601326.SH,,0.8109,,
2015-03-03,3369.HK,3.63,601326.SH,,0.8106,,
2015-03-04,3369.HK,3.65,601326.SH,,0.8103,,
2015-03-05,3369.HK,3.67,601326.SH,,0.8101,,
2015-03-06,3369.HK,3.69,601326.SH,,0.8094,,
2015-03-09,3369.HK,3.66,601326.SH,,0.8087,,
2015-03-10,3369.HK,3.65,601326.SH,,0.809,,
2015-03-11,3369.HK,3.6,601326.SH,,0.8087,,
2015-03-12,3369.HK,3.57,601326.SH,,0.809,,
2015-03-13,3369.HK,3.56,601326.SH,,0.808,,
2015-03-16,3369.HK,3.6,601326.SH,,0.809,,
2015-03-17,3369.HK,3.61,601326.SH,,0.8082,,
2015-03-18,3369.HK,3.59,601326.SH,,0.8051,,
2015-03-19,3369.HK,3.52,601326.SH,,0.804,,
2015-03-20,3369.HK,3.56,601326.SH,,0.8008,,
2015-03-23,3369.HK,3.6,601326.SH,,0.801,,
2015-03-24,3369.HK,3.8,601326.SH,,0.8007,,
2015-03-25,3369.HK,4.06,601326.SH,,0.8004,,
2015-03-26,3369.HK,4.0,601326.SH,,0.8012,,
2015-03-27,3369.HK,4.03,601326.SH,,0.801,,
2015-03-30,3369.HK,4.04,601326.SH,,0.8024,,
2015-03-31,3369.HK,4.09,601326.SH,,0.801,,
2015-04-01,3369.HK,4.12,601326.SH,,0.8002,,
2015-04-02,3369.HK,4.36,601326.SH,,0.8005,,
2015-04-03,3369.HK,4.36,601326.SH,,0.8005,,
2015-04-07,3369.HK,4.36,601326.SH,,0.8005,,
2015-04-08,3369.HK,4.56,601326.SH,,0.7996,,
2015-04-09,3369.HK,4.4,601326.SH,,0.8008,,
2015-04-10,3369.HK,4.37,601326.SH,,0.8018,,
2015-04-13,3369.HK,4.64,601326.SH,,0.8025,,
2015-04-14,3369.HK,4.63,601326.SH,,0.8034,,
2015-04-15,3369.HK,4.6,601326.SH,,0.8021,,
2015-04-16,3369.HK,4.59,601326.SH,,0.8007,,
2015-04-17,3369.HK,4.71,601326.SH,,0.7994,,
2015-04-20,3369.HK,4.55,601326.SH,,0.799,,
2015-04-21,3369.HK,4.6,601326.SH,,0.8001,,
2015-04-22,3369.HK,4.73,601326.SH,,0.7998,,
2015-04-23,3369.HK,4.7,601326.SH,,0.7989,,
2015-04-24,3369.HK,4.77,601326.SH,,0.7995,,
2015-04-27,3369.HK,4.99,601326.SH,,0.7994,,
2015-04-28,3369.HK,5.03,601326.SH,,0.8022,,
2015-04-29,3369.HK,5.04,601326.SH,,0.8008,,
2015-04-30,3369.HK,5.25,601326.SH,,0.8002,,
2015-05-04,3369.HK,5.22,601326.SH,,0.801,,
2015-05-05,3369.HK,5.0,601326.SH,,0.8014,,
2015-05-06,3369.HK,4.93,601326.SH,,0.8011,,
2015-05-07,3369.HK,4.84,601326.SH,,0.8004,,
2015-05-08,3369.HK,4.98,601326.SH,,0.8011,,
2015-05-11,3369.HK,4.99,601326.SH,,0.8011,,
2015-05-12,3369.HK,5.05,601326.SH,,0.8013,,
2015-05-13,3369.HK,5.01,601326.SH,,0.8009,,
2015-05-14,3369.HK,5.0,601326.SH,,0.8001,,
2015-05-15,3369.HK,5.0,601326.SH,,0.8,,
2015-05-18,3369.HK,5.0,601326.SH,,0.8008,,
2015-05-19,3369.HK,5.02,601326.SH,,0.8004,,
2015-05-20,3369.HK,5.0,601326.SH,,0.8008,,
2015-05-21,3369.HK,5.01,601326.SH,,0.8006,,
2015-05-22,3369.HK,5.02,601326.SH,,0.7996,,
2015-05-25,3369.HK,5.02,601326.SH,,0.7996,,
2015-05-26,3369.HK,5.06,601326.SH,,0.7996,,
2015-05-27,3369.HK,5.03,601326.SH,,0.8006,,
2015-05-28,3369.HK,4.96,601326.SH,,0.8003,,
2015-05-29,3369.HK,4.88,601326.SH,,0.8002,,
2015-06-01,3369.HK,4.91,601326.SH,,0.8003,,
