,HK_ticker,HK_close,SH_ticker,SH_close,CNH/HKD,SH_adjclose,SH-HK
2015-01-07,6869.HK,6.59,601869.SH,,0.8018,,
2015-01-08,6869.HK,6.58,601869.SH,,0.8013,,
2015-01-09,6869.HK,6.58,601869.SH,,0.8017,,
2015-01-12,6869.HK,6.44,601869.SH,,0.8011,,
2015-01-13,6869.HK,6.57,601869.SH,,0.7998,,
2015-01-14,6869.HK,6.57,601869.SH,,0.7995,,
2015-01-15,6869.HK,6.51,601869.SH,,0.7992,,
2015-01-16,6869.HK,6.5,601869.SH,,0.7983,,
2015-01-19,6869.HK,6.5,601869.SH,,0.8034,,
2015-01-20,6869.HK,6.5,601869.SH,,0.8028,,
2015-01-21,6869.HK,6.54,601869.SH,,0.8024,,
2015-01-22,6869.HK,6.5,601869.SH,,0.8018,,
2015-01-23,6869.HK,6.58,601869.SH,,0.8012,,
2015-01-26,6869.HK,6.51,601869.SH,,0.8049,,
2015-01-27,6869.HK,6.5,601869.SH,,0.807,,
2015-01-28,6869.HK,6.5,601869.SH,,0.8055,,
2015-01-29,6869.HK,6.55,601869.SH,,0.8066,,
2015-01-30,6869.HK,6.47,601869.SH,,0.8071,,
2015-02-02,6869.HK,6.5,601869.SH,,0.8089,,
2015-02-03,6869.HK,6.5,601869.SH,,0.8088,,
2015-02-04,6869.HK,6.48,601869.SH,,0.8086,,
2015-02-05,6869.HK,6.57,601869.SH,,0.8061,,
2015-02-06,6869.HK,6.5,601869.SH,,0.8064,,
2015-02-09,6869.HK,6.45,601869.SH,,0.8053,,
2015-02-10,6869.HK,6.48,601869.SH,,0.8059,,
2015-02-11,6869.HK,6.44,601869.SH,,0.8058,,
2015-02-12,6869.HK,6.42,601869.SH,,0.8057,,
2015-02-13,6869.HK,6.47,601869.SH,,0.8055,,
2015-02-16,6869.HK,6.4,601869.SH,,0.8052,,
2015-02-17,6869.HK,6.45,601869.SH,,0.8082,,
2015-02-25,6869.HK,6.48,601869.SH,,0.8092,,
2015-02-26,6869.HK,7.04,601869.SH,,0.8086,,
2015-02-27,6869.HK,7.08,601869.SH,,0.8081,,
2015-03-02,6869.HK,7.11,601869.SH,,0.8109,,
2015-03-03,6869.HK,6.89,601869.SH,,0.8106,,
2015-03-04,6869.HK,6.84,601869.SH,,0.8103,,
2015-03-05,6869.HK,6.94,601869.SH,,0.8101,,
2015-03-06,6869.HK,6.9,601869.SH,,0.8094,,
2015-03-09,6869.HK,7.09,601869.SH,,0.8087,,
2015-03-10,6869.HK,6.98,601869.SH,,0.809,,
2015-03-11,6869.HK,7.15,601869.SH,,0.8087,,
2015-03-12,6869.HK,7.05,601869.SH,,0.809,,
2015-03-13,6869.HK,7.05,601869.SH,,0.808,,
2015-03-16,6869.HK,7.04,601869.SH,,0.809,,
2015-03-17,6869.HK,6.94,601869.SH,,0.8082,,
2015-03-18,6869.HK,7.0,601869.SH,,0.8051,,
2015-03-19,6869.HK,6.91,601869.SH,,0.804,,
2015-03-20,6869.HK,6.93,601869.SH,,0.8008,,
2015-03-23,6869.HK,6.89,601869.SH,,0.801,,
2015-03-24,6869.HK,6.94,601869.SH,,0.8007,,
2015-03-25,6869.HK,7.12,601869.SH,,0.8004,,
2015-03-26,6869.HK,7.13,601869.SH,,0.8012,,
2015-03-27,6869.HK,6.96,601869.SH,,0.801,,
2015-03-30,6869.HK,7.11,601869.SH,,0.8024,,
2015-03-31,6869.HK,7.1,601869.SH,,0.801,,
2015-04-01,6869.HK,7.13,601869.SH,,0.8002,,
2015-04-02,6869.HK,7.98,601869.SH,,0.8005,,
2015-04-03,6869.HK,7.98,601869.SH,,0.8005,,
2015-04-07,6869.HK,7.98,601869.SH,,0.8005,,
2015-04-08,6869.HK,9.02,601869.SH,,0.7996,,
2015-04-09,6869.HK,8.76,601869.SH,,0.8008,,
2015-04-10,6869.HK,8.87,601869.SH,,0.8018,,
2015-04-13,6869.HK,9.55,601869.SH,,0.8025,,
2015-04-14,6869.HK,10.06,601869.SH,,0.8034,,
2015-04-15,6869.HK,9.82,601869.SH,,0.8021,,
2015-04-16,6869.HK,9.81,601869.SH,,0.8007,,
2015-04-17,6869.HK,9.85,601869.SH,,0.7994,,
2015-04-20,6869.HK,9.8,601869.SH,,0.799,,
2015-04-21,6869.HK,9.71,601869.SH,,0.8001,,
2015-04-22,6869.HK,9.69,601869.SH,,0.7998,,
2015-04-23,6869.HK,9.59,601869.SH,,0.7989,,
2015-04-24,6869.HK,9.35,601869.SH,,0.7995,,
2015-04-27,6869.HK,9.35,601869.SH,,0.7994,,
2015-04-28,6869.HK,9.28,601869.SH,,0.8022,,
2015-04-29,6869.HK,9.54,601869.SH,,0.8008,,
2015-04-30,6869.HK,9.39,601869.SH,,0.8002,,
2015-05-04,6869.HK,10.0,601869.SH,,0.801,,
2015-05-05,6869.HK,9.97,601869.SH,,0.8014,,
2015-05-06,6869.HK,9.76,601869.SH,,0.8011,,
2015-05-07,6869.HK,9.34,601869.SH,,0.8004,,
2015-05-08,6869.HK,9.58,601869.SH,,0.8011,,
2015-05-11,6869.HK,9.88,601869.SH,,0.8011,,
2015-05-12,6869.HK,9.63,601869.SH,,0.8013,,
2015-05-13,6869.HK,9.6,601869.SH,,0.8009,,
2015-05-14,6869.HK,10.4,601869.SH,,0.8001,,
2015-05-15,6869.HK,10.58,601869.SH,,0.8,,
2015-05-18,6869.HK,11.08,601869.SH,,0.8008,,
2015-05-19,6869.HK,11.16,601869.SH,,0.8004,,
2015-05-20,6869.HK,11.04,601869.SH,,0.8008,,
2015-05-21,6869.HK,11.18,601869.SH,,0.8006,,
2015-05-22,6869.HK,11.24,601869.SH,,0.7996,,
2015-05-25,6869.HK,11.24,601869.SH,,0.7996,,
2015-05-26,6869.HK,11.68,601869.SH,,0.7996,,
2015-05-27,6869.HK,11.88,601869.SH,,0.8006,,
2015-05-28,6869.HK,11.48,601869.SH,,0.8003,,
2015-05-29,6869.HK,11.36,601869.SH,,0.8002,,
2015-06-01,6869.HK,11.28,601869.SH,,0.8003,,
2015-06-02,6869.HK,11.12,601869.SH,,0.8,,
2015-06-03,6869.HK,11.0,601869.SH,,0.7996,,
2015-06-04,6869.HK,10.82,601869.SH,,0.7998,,
2015-06-05,6869.HK,10.5,601869.SH,,0.8003,,
2015-06-08,6869.HK,10.6,601869.SH,,0.8006,,
2015-06-09,6869.HK,10.42,601869.SH,,0.8014,,
2015-06-10,6869.HK,10.94,601869.SH,,0.8015,,
2015-06-11,6869.HK,10.7,601869.SH,,0.8009,,
2015-06-12,6869.HK,10.78,601869.SH,,0.8011,,
2015-06-15,6869.HK,10.62,601869.SH,,0.8015,,
2015-06-16,6869.HK,10.8,601869.SH,,0.8014,,
2015-06-17,6869.HK,11.28,601869.SH,,0.8011,,
2015-06-18,6869.HK,11.4,601869.SH,,0.8009,,
2015-06-19,6869.HK,11.44,601869.SH,,0.8004,,
2015-06-23,6869.HK,11.5,601869.SH,,0.8009,,
2015-06-24,6869.HK,11.48,601869.SH,,0.7999,,
2015-06-25,6869.HK,11.38,601869.SH,,0.8003,,
2015-06-26,6869.HK,10.98,601869.SH,,0.8007,,
2015-06-29,6869.HK,10.5,601869.SH,,0.8006,,
2015-06-30,6869.HK,10.24,601869.SH,,0.8009,,
2015-07-01,6869.HK,10.24,601869.SH,,0.8009,,
2015-07-02,6869.HK,10.3,601869.SH,,0.8002,,
2015-07-03,6869.HK,9.85,601869.SH,,0.8002,,
2015-07-06,6869.HK,9.7,601869.SH,,0.8005,,
2015-07-07,6869.HK,9.0,601869.SH,,0.8014,,
2015-07-08,6869.HK,8.7,601869.SH,,0.8021,,
2015-07-09,6869.HK,9.59,601869.SH,,0.8019,,
2015-07-10,6869.HK,9.54,601869.SH,,0.8018,,
2015-07-13,6869.HK,9.94,601869.SH,,0.8019,,
2015-07-14,6869.HK,9.82,601869.SH,,0.8018,,
2015-07-15,6869.HK,9.46,601869.SH,,0.8018,,
2015-07-16,6869.HK,9.65,601869.SH,,0.8016,,
2015-07-17,6869.HK,9.96,601869.SH,,0.8017,,
2015-07-20,6869.HK,9.96,601869.SH,,0.8017,,
2015-07-21,6869.HK,9.9,601869.SH,,0.8017,,
2015-07-22,6869.HK,9.9,601869.SH,,0.8011,,
2015-07-23,6869.HK,9.7,601869.SH,,0.8014,,
2015-07-24,6869.HK,9.59,601869.SH,,0.8019,,
2015-07-27,6869.HK,9.5,601869.SH,,0.8029,,
2015-07-28,6869.HK,9.43,601869.SH,,0.8027,,
2015-07-29,6869.HK,9.37,601869.SH,,0.8022,,
2015-07-30,6869.HK,9.35,601869.SH,,0.8023,,
2015-07-31,6869.HK,9.17,601869.SH,,0.8022,,
2015-08-03,6869.HK,8.92,601869.SH,,0.8028,,
