,HK_ticker,HK_close,SH_ticker,SH_close,CNH/HKD,SH_adjclose,SH-HK
2015-01-07,0568.HK,3.64,002490.SZ,9.01,0.8018,11.237216263407333,7.597216263407333
2015-01-08,0568.HK,3.52,002490.SZ,9.14,0.8013,11.406464495195308,7.886464495195309
2015-01-09,0568.HK,3.51,002490.SZ,8.87,0.8017,11.063989023325433,7.553989023325434
2015-01-12,0568.HK,3.37,002490.SZ,8.65,0.8011,10.797653226813132,7.427653226813132
2015-01-13,0568.HK,3.44,002490.SZ,8.85,0.7998,11.065266316579145,7.625266316579145
2015-01-14,0568.HK,3.33,002490.SZ,8.92,0.7995,11.15697310819262,7.82697310819262
2015-01-15,0568.HK,3.37,002490.SZ,8.95,0.7992,11.198698698698697,7.828698698698697
2015-01-16,0568.HK,3.26,002490.SZ,8.92,0.7983,11.173744206438682,7.9137442064386825
2015-01-19,0568.HK,3.1,002490.SZ,8.49,0.8034,10.567587752053772,7.467587752053772
2015-01-20,0568.HK,3.12,002490.SZ,8.68,0.8028,10.81215744892875,7.692157448928749
2015-01-21,0568.HK,3.13,002490.SZ,9.04,0.8024,11.266201395812562,8.136201395812563
2015-01-22,0568.HK,3.14,002490.SZ,9.54,0.8018,11.898228984784234,8.758228984784234
2015-01-23,0568.HK,3.08,002490.SZ,9.26,0.8012,11.557663504742886,8.477663504742885
2015-01-26,0568.HK,3.11,002490.SZ,9.47,0.8049,11.765436700211207,8.655436700211208
2015-01-27,0568.HK,3.05,002490.SZ,9.53,0.807,11.809169764560098,8.759169764560099
2015-01-28,0568.HK,3.15,002490.SZ,9.74,0.8055,12.091868404717568,8.941868404717567
2015-01-29,0568.HK,3.09,002490.SZ,9.49,0.8066,11.765435159930574,8.675435159930574
2015-01-30,0568.HK,3.09,002490.SZ,9.31,0.8071,11.535125758889853,8.445125758889853
2015-02-02,0568.HK,3.11,002490.SZ,9.58,0.8089,11.843243911484732,8.733243911484733
2015-02-03,0568.HK,3.12,002490.SZ,9.78,0.8088,12.091988130563799,8.971988130563798
2015-02-04,0568.HK,3.11,002490.SZ,9.58,0.8086,11.847637892653971,8.737637892653972
2015-02-05,0568.HK,3.08,002490.SZ,9.4,0.8061,11.661084232725468,8.581084232725468
2015-02-06,0568.HK,3.07,002490.SZ,9.21,0.8064,11.421130952380953,8.351130952380952
2015-02-09,0568.HK,2.97,002490.SZ,9.15,0.8053,11.36222525766795,8.392225257667949
2015-02-10,0568.HK,2.95,002490.SZ,9.2,0.8059,11.41580841295446,8.465808412954459
2015-02-11,0568.HK,2.96,002490.SZ,9.34,0.8058,11.590965500124101,8.630965500124102
2015-02-12,0568.HK,2.94,002490.SZ,9.36,0.8057,11.617227255802408,8.677227255802409
2015-02-13,0568.HK,2.98,002490.SZ,9.45,0.8055,11.731843575418994,8.751843575418993
2015-02-16,0568.HK,2.99,002490.SZ,9.63,0.8052,11.959761549925485,8.969761549925485
2015-02-17,0568.HK,3.04,002490.SZ,9.66,0.8082,11.952487008166296,8.912487008166295
2015-02-25,0568.HK,3.08,002490.SZ,9.59,0.8092,11.85121107266436,8.771211072664359
2015-02-26,0568.HK,3.35,002490.SZ,9.8,0.8086,12.11971308434331,8.76971308434331
2015-02-27,0568.HK,3.27,002490.SZ,9.79,0.8081,12.114837272614773,8.844837272614773
2015-03-02,0568.HK,3.31,002490.SZ,9.95,0.8109,12.270316931804167,8.960316931804167
2015-03-03,0568.HK,3.23,002490.SZ,10.17,0.8106,12.546262028127313,9.316262028127312
2015-03-04,0568.HK,3.3,002490.SZ,10.16,0.8103,12.538565963223498,9.238565963223497
2015-03-05,0568.HK,3.27,002490.SZ,10.03,0.8101,12.381187507715095,9.111187507715096
2015-03-06,0568.HK,3.54,002490.SZ,10.48,0.8094,12.947862614282185,9.407862614282184
2015-03-09,0568.HK,3.52,002490.SZ,10.35,0.8087,12.798318288611352,9.278318288611352
2015-03-10,0568.HK,3.48,002490.SZ,10.36,0.809,12.805933250927069,9.325933250927068
2015-03-11,0568.HK,3.4,002490.SZ,10.17,0.8087,12.575738840113763,9.175738840113763
2015-03-12,0568.HK,3.36,002490.SZ,10.12,0.809,12.509270704573545,9.149270704573546
2015-03-13,0568.HK,3.35,002490.SZ,10.22,0.808,12.648514851485148,9.298514851485148
2015-03-16,0568.HK,3.34,002490.SZ,10.41,0.809,12.867737948084054,9.527737948084054
2015-03-17,0568.HK,3.41,002490.SZ,10.54,0.8082,13.041326404355356,9.631326404355356
2015-03-18,0568.HK,3.57,002490.SZ,10.76,0.8051,13.364799403800768,9.794799403800768
2015-03-19,0568.HK,3.53,002490.SZ,10.9,0.804,13.557213930348258,10.027213930348259
2015-03-20,0568.HK,3.58,002490.SZ,10.88,0.8008,13.586413586413588,10.006413586413588
2015-03-23,0568.HK,3.76,002490.SZ,11.12,0.801,13.882646691635454,10.122646691635454
2015-03-24,0568.HK,3.67,002490.SZ,10.8,0.8007,13.488197826901462,9.818197826901462
2015-03-25,0568.HK,3.69,002490.SZ,11.24,0.8004,14.042978510744629,10.352978510744629
2015-03-26,0568.HK,3.66,002490.SZ,11.55,0.8012,14.415876185721418,10.755876185721418
2015-03-27,0568.HK,3.56,002490.SZ,11.42,0.801,14.257178526841447,10.697178526841446
2015-03-30,0568.HK,3.81,002490.SZ,11.42,0.8024,14.232303090727816,10.422303090727816
2015-03-31,0568.HK,3.91,002490.SZ,11.19,0.801,13.970037453183519,10.060037453183519
2015-04-01,0568.HK,4.06,002490.SZ,11.42,0.8002,14.271432141964508,10.211432141964508
2015-04-02,0568.HK,4.64,002490.SZ,11.65,0.8005,14.553404122423485,9.913404122423486
2015-04-03,0568.HK,4.64,002490.SZ,11.66,0.8005,14.565896314803249,9.92589631480325
2015-04-07,0568.HK,4.64,002490.SZ,12.09,0.8005,15.103060587133042,10.463060587133043
2015-04-08,0568.HK,5.23,002490.SZ,11.78,0.7996,14.732366183091546,9.502366183091546
2015-04-09,0568.HK,5.59,002490.SZ,11.41,0.8008,14.248251748251748,8.658251748251748
2015-04-10,0568.HK,5.64,002490.SZ,11.66,0.8018,14.542279870291845,8.902279870291846
2015-04-13,0568.HK,5.87,002490.SZ,11.88,0.8025,14.803738317757011,8.933738317757012
2015-04-14,0568.HK,5.63,002490.SZ,11.97,0.8034,14.899178491411503,9.269178491411502
2015-04-15,0568.HK,5.27,002490.SZ,11.22,0.8021,13.988280762997134,8.718280762997134
2015-04-16,0568.HK,5.49,002490.SZ,11.36,0.8007,14.187585862370426,8.697585862370426
2015-04-17,0568.HK,5.44,002490.SZ,11.8,0.7994,14.761070803102328,9.321070803102327
2015-04-20,0568.HK,5.15,002490.SZ,12.3,0.799,15.39424280350438,10.24424280350438
2015-04-21,0568.HK,5.43,002490.SZ,12.91,0.8001,16.135483064616924,10.705483064616924
2015-04-22,0568.HK,5.52,002490.SZ,12.87,0.7998,16.09152288072018,10.571522880720181
2015-04-23,0568.HK,5.43,002490.SZ,12.86,0.7989,16.097133558643133,10.667133558643133
2015-04-24,0568.HK,5.39,002490.SZ,13.16,0.7995,16.460287679799876,11.070287679799875
2015-04-27,0568.HK,5.44,002490.SZ,12.94,0.7994,16.18714035526645,10.747140355266449
2015-04-28,0568.HK,5.31,002490.SZ,12.47,0.8022,15.544751932186488,10.234751932186487
2015-04-29,0568.HK,5.49,002490.SZ,13.72,0.8008,17.132867132867133,11.642867132867133
