,HK_ticker,HK_close,SH_ticker,SH_close,CNH/HKD,SH_adjclose,SH-HK
2015-01-07,1375.HK,7.7,601375.SH,,0.8018,,
2015-01-08,1375.HK,7.54,601375.SH,,0.8013,,
2015-01-09,1375.HK,7.47,601375.SH,,0.8017,,
2015-01-12,1375.HK,7.38,601375.SH,,0.8011,,
2015-01-13,1375.HK,7.42,601375.SH,,0.7998,,
2015-01-14,1375.HK,7.57,601375.SH,,0.7995,,
2015-01-15,1375.HK,7.82,601375.SH,,0.7992,,
2015-01-16,1375.HK,7.65,601375.SH,,0.7983,,
2015-01-19,1375.HK,6.93,601375.SH,,0.8034,,
2015-01-20,1375.HK,7.17,601375.SH,,0.8028,,
2015-01-21,1375.HK,7.23,601375.SH,,0.8024,,
2015-01-22,1375.HK,7.23,601375.SH,,0.8018,,
2015-01-23,1375.HK,7.25,601375.SH,,0.8012,,
2015-01-26,1375.HK,7.06,601375.SH,,0.8049,,
2015-01-27,1375.HK,6.99,601375.SH,,0.807,,
2015-01-28,1375.HK,6.87,601375.SH,,0.8055,,
2015-01-29,1375.HK,6.68,601375.SH,,0.8066,,
2015-01-30,1375.HK,6.33,601375.SH,,0.8071,,
2015-02-02,1375.HK,6.46,601375.SH,,0.8089,,
2015-02-03,1375.HK,6.5,601375.SH,,0.8088,,
2015-02-04,1375.HK,6.33,601375.SH,,0.8086,,
2015-02-05,1375.HK,6.33,601375.SH,,0.8061,,
2015-02-06,1375.HK,6.38,601375.SH,,0.8064,,
2015-02-09,1375.HK,6.3,601375.SH,,0.8053,,
2015-02-10,1375.HK,6.32,601375.SH,,0.8059,,
2015-02-11,1375.HK,6.21,601375.SH,,0.8058,,
2015-02-12,1375.HK,6.2,601375.SH,,0.8057,,
2015-02-13,1375.HK,6.33,601375.SH,,0.8055,,
2015-02-16,1375.HK,6.28,601375.SH,,0.8052,,
2015-02-17,1375.HK,6.33,601375.SH,,0.8082,,
2015-02-25,1375.HK,6.93,601375.SH,,0.8092,,
2015-02-26,1375.HK,7.19,601375.SH,,0.8086,,
2015-02-27,1375.HK,7.27,601375.SH,,0.8081,,
2015-03-02,1375.HK,7.16,601375.SH,,0.8109,,
2015-03-03,1375.HK,7.01,601375.SH,,0.8106,,
2015-03-04,1375.HK,7.05,601375.SH,,0.8103,,
2015-03-05,1375.HK,7.05,601375.SH,,0.8101,,
2015-03-06,1375.HK,7.02,601375.SH,,0.8094,,
2015-03-09,1375.HK,6.69,601375.SH,,0.8087,,
2015-03-10,1375.HK,6.44,601375.SH,,0.809,,
2015-03-11,1375.HK,6.67,601375.SH,,0.8087,,
2015-03-12,1375.HK,6.82,601375.SH,,0.809,,
2015-03-13,1375.HK,6.8,601375.SH,,0.808,,
2015-03-16,1375.HK,7.01,601375.SH,,0.809,,
2015-03-17,1375.HK,7.19,601375.SH,,0.8082,,
2015-03-18,1375.HK,7.36,601375.SH,,0.8051,,
2015-03-19,1375.HK,7.08,601375.SH,,0.804,,
2015-03-20,1375.HK,7.4,601375.SH,,0.8008,,
2015-03-23,1375.HK,7.67,601375.SH,,0.801,,
2015-03-24,1375.HK,7.5,601375.SH,,0.8007,,
2015-03-25,1375.HK,7.5,601375.SH,,0.8004,,
2015-03-26,1375.HK,7.3,601375.SH,,0.8012,,
2015-03-27,1375.HK,7.33,601375.SH,,0.801,,
2015-03-30,1375.HK,7.42,601375.SH,,0.8024,,
2015-03-31,1375.HK,7.26,601375.SH,,0.801,,
2015-04-01,1375.HK,7.4,601375.SH,,0.8002,,
2015-04-02,1375.HK,7.2,601375.SH,,0.8005,,
2015-04-03,1375.HK,7.2,601375.SH,,0.8005,,
2015-04-07,1375.HK,7.2,601375.SH,,0.8005,,
2015-04-08,1375.HK,8.28,601375.SH,,0.7996,,
2015-04-09,1375.HK,8.78,601375.SH,,0.8008,,
2015-04-10,1375.HK,8.58,601375.SH,,0.8018,,
2015-04-13,1375.HK,8.76,601375.SH,,0.8025,,
2015-04-14,1375.HK,8.35,601375.SH,,0.8034,,
2015-04-15,1375.HK,8.12,601375.SH,,0.8021,,
2015-04-16,1375.HK,8.09,601375.SH,,0.8007,,
2015-04-17,1375.HK,7.79,601375.SH,,0.7994,,
2015-04-20,1375.HK,7.38,601375.SH,,0.799,,
2015-04-21,1375.HK,7.87,601375.SH,,0.8001,,
2015-04-22,1375.HK,8.16,601375.SH,,0.7998,,
2015-04-23,1375.HK,7.84,601375.SH,,0.7989,,
2015-04-24,1375.HK,7.73,601375.SH,,0.7995,,
2015-04-27,1375.HK,7.8,601375.SH,,0.7994,,
2015-04-28,1375.HK,7.7,601375.SH,,0.8022,,
2015-04-29,1375.HK,7.79,601375.SH,,0.8008,,
2015-04-30,1375.HK,7.64,601375.SH,,0.8002,,
2015-05-04,1375.HK,7.51,601375.SH,,0.801,,
2015-05-05,1375.HK,7.33,601375.SH,,0.8014,,
2015-05-06,1375.HK,7.28,601375.SH,,0.8011,,
2015-05-07,1375.HK,7.1,601375.SH,,0.8004,,
2015-05-08,1375.HK,7.44,601375.SH,,0.8011,,
