,HK_ticker,HK_close,SH_ticker,SH_close,CNH/HKD,SH_adjclose,SH-HK
2015-01-07,3866.HK,,002948.SZ,,0.8018,,
2015-01-08,3866.HK,,002948.SZ,,0.8013,,
2015-01-09,3866.HK,,002948.SZ,,0.8017,,
2015-01-12,3866.HK,,002948.SZ,,0.8011,,
2015-01-13,3866.HK,,002948.SZ,,0.7998,,
2015-01-14,3866.HK,,002948.SZ,,0.7995,,
2015-01-15,3866.HK,,002948.SZ,,0.7992,,
2015-01-16,3866.HK,,002948.SZ,,0.7983,,
2015-01-19,3866.HK,,002948.SZ,,0.8034,,
2015-01-20,3866.HK,,002948.SZ,,0.8028,,
2015-01-21,3866.HK,,002948.SZ,,0.8024,,
2015-01-22,3866.HK,,002948.SZ,,0.8018,,
2015-01-23,3866.HK,,002948.SZ,,0.8012,,
2015-01-26,3866.HK,,002948.SZ,,0.8049,,
2015-01-27,3866.HK,,002948.SZ,,0.807,,
2015-01-28,3866.HK,,002948.SZ,,0.8055,,
2015-01-29,3866.HK,,002948.SZ,,0.8066,,
2015-01-30,3866.HK,,002948.SZ,,0.8071,,
2015-02-02,3866.HK,,002948.SZ,,0.8089,,
2015-02-03,3866.HK,,002948.SZ,,0.8088,,
2015-02-04,3866.HK,,002948.SZ,,0.8086,,
2015-02-05,3866.HK,,002948.SZ,,0.8061,,
2015-02-06,3866.HK,,002948.SZ,,0.8064,,
2015-02-09,3866.HK,,002948.SZ,,0.8053,,
2015-02-10,3866.HK,,002948.SZ,,0.8059,,
2015-02-11,3866.HK,,002948.SZ,,0.8058,,
2015-02-12,3866.HK,,002948.SZ,,0.8057,,
2015-02-13,3866.HK,,002948.SZ,,0.8055,,
2015-02-16,3866.HK,,002948.SZ,,0.8052,,
2015-02-17,3866.HK,,002948.SZ,,0.8082,,
2015-02-25,3866.HK,,002948.SZ,,0.8092,,
2015-02-26,3866.HK,,002948.SZ,,0.8086,,
2015-02-27,3866.HK,,002948.SZ,,0.8081,,
2015-03-02,3866.HK,,002948.SZ,,0.8109,,
2015-03-03,3866.HK,,002948.SZ,,0.8106,,
2015-03-04,3866.HK,,002948.SZ,,0.8103,,
2015-03-05,3866.HK,,002948.SZ,,0.8101,,
2015-03-06,3866.HK,,002948.SZ,,0.8094,,
2015-03-09,3866.HK,,002948.SZ,,0.8087,,
2015-03-10,3866.HK,,002948.SZ,,0.809,,
2015-03-11,3866.HK,,002948.SZ,,0.8087,,
2015-03-12,3866.HK,,002948.SZ,,0.809,,
2015-03-13,3866.HK,,002948.SZ,,0.808,,
2015-03-16,3866.HK,,002948.SZ,,0.809,,
2015-03-17,3866.HK,,002948.SZ,,0.8082,,
2015-03-18,3866.HK,,002948.SZ,,0.8051,,
2015-03-19,3866.HK,,002948.SZ,,0.804,,
2015-03-20,3866.HK,,002948.SZ,,0.8008,,
