,HK_ticker,HK_close,SH_ticker,SH_close,CNH/HKD,SH_adjclose,SH-HK
2015-01-07,1108.HK,4.39,600876.SH,9.64,0.8018,12.022948366176106,7.632948366176106
2015-01-08,1108.HK,4.7,600876.SH,10.6,0.8013,13.228503681517534,8.528503681517535
2015-01-09,1108.HK,3.98,600876.SH,9.77,0.8017,12.186603467631283,8.206603467631282
2015-01-12,1108.HK,3.5,600876.SH,8.79,0.8011,10.972412932218198,7.472412932218198
2015-01-13,1108.HK,3.6,600876.SH,8.74,0.7998,10.927731932983246,7.327731932983246
2015-01-14,1108.HK,3.36,600876.SH,8.45,0.7995,10.56910569105691,7.2091056910569105
2015-01-15,1108.HK,3.4,600876.SH,8.6,0.7992,10.76076076076076,7.36076076076076
2015-01-16,1108.HK,3.61,600876.SH,9.46,0.7983,11.850181635976451,8.240181635976452
2015-01-19,1108.HK,3.53,600876.SH,9.71,0.8034,12.086133930794126,8.556133930794127
2015-01-20,1108.HK,3.68,600876.SH,10.1,0.8028,12.580966616841057,8.900966616841057
2015-01-21,1108.HK,3.68,600876.SH,10.14,0.8024,12.637088733798604,8.957088733798605
2015-01-22,1108.HK,3.6,600876.SH,10.05,0.8018,12.534297829882766,8.934297829882766
2015-01-23,1108.HK,3.49,600876.SH,9.56,0.8012,11.932101847229157,8.442101847229157
2015-01-26,1108.HK,3.51,600876.SH,9.9,0.8049,12.299664554603057,8.789664554603057
2015-01-27,1108.HK,3.5,600876.SH,10.24,0.807,12.68897149938042,9.18897149938042
2015-01-28,1108.HK,3.54,600876.SH,10.91,0.8055,13.544382371198013,10.004382371198012
2015-01-29,1108.HK,3.5,600876.SH,10.81,0.8066,13.40193404413588,9.90193404413588
2015-01-30,1108.HK,3.44,600876.SH,10.56,0.8071,13.083880560029735,9.643880560029736
2015-02-02,1108.HK,3.25,600876.SH,9.86,0.8089,12.189393002843367,8.939393002843367
2015-02-03,1108.HK,3.19,600876.SH,9.74,0.8088,12.042532146389714,8.852532146389715
2015-02-04,1108.HK,3.16,600876.SH,9.54,0.8086,11.79816967598318,8.63816967598318
2015-02-05,1108.HK,3.21,600876.SH,10.31,0.8061,12.78997642972336,9.57997642972336
2015-02-06,1108.HK,3.04,600876.SH,9.88,0.8064,12.251984126984128,9.211984126984127
2015-02-09,1108.HK,2.87,600876.SH,9.52,0.8053,11.821681360983483,8.951681360983482
2015-02-10,1108.HK,2.7,600876.SH,9.29,0.8059,11.527484799602927,8.827484799602928
2015-02-11,1108.HK,2.7,600876.SH,9.37,0.8058,11.62819558203028,8.92819558203028
2015-02-12,1108.HK,2.78,600876.SH,9.25,0.8057,11.480700012411567,8.700700012411568
2015-02-13,1108.HK,2.75,600876.SH,9.33,0.8055,11.582867783985103,8.832867783985103
2015-02-16,1108.HK,2.71,600876.SH,9.44,0.8052,11.723795330352706,9.013795330352707
2015-02-17,1108.HK,2.74,600876.SH,9.46,0.8082,11.705023509032419,8.965023509032418
2015-02-25,1108.HK,2.91,600876.SH,9.77,0.8092,12.073652990608007,9.163652990608007
2015-02-26,1108.HK,3.2,600876.SH,10.19,0.8086,12.602028196883502,9.402028196883503
2015-02-27,1108.HK,3.22,600876.SH,10.12,0.8081,12.523202573938867,9.303202573938867
