,HK_ticker,HK_close,SH_ticker,SH_close,CNH/HKD,SH_adjclose,SH-HK
2015-01-07,1533.HK,,002910.SZ,,0.8018,,
2015-01-08,1533.HK,,002910.SZ,,0.8013,,
2015-01-09,1533.HK,,002910.SZ,,0.8017,,
2015-01-12,1533.HK,,002910.SZ,,0.8011,,
2015-01-13,1533.HK,,002910.SZ,,0.7998,,
2015-01-14,1533.HK,,002910.SZ,,0.7995,,
2015-01-15,1533.HK,,002910.SZ,,0.7992,,
2015-01-16,1533.HK,,002910.SZ,,0.7983,,
2015-01-19,1533.HK,,002910.SZ,,0.8034,,
2015-01-20,1533.HK,,002910.SZ,,0.8028,,
2015-01-21,1533.HK,,002910.SZ,,0.8024,,
2015-01-22,1533.HK,,002910.SZ,,0.8018,,
2015-01-23,1533.HK,,002910.SZ,,0.8012,,
2015-01-26,1533.HK,,002910.SZ,,0.8049,,
2015-01-27,1533.HK,,002910.SZ,,0.807,,
2015-01-28,1533.HK,,002910.SZ,,0.8055,,
2015-01-29,1533.HK,,002910.SZ,,0.8066,,
2015-01-30,1533.HK,,002910.SZ,,0.8071,,
2015-02-02,1533.HK,,002910.SZ,,0.8089,,
2015-02-03,1533.HK,,002910.SZ,,0.8088,,
2015-02-04,1533.HK,,002910.SZ,,0.8086,,
2015-02-05,1533.HK,,002910.SZ,,0.8061,,
2015-02-06,1533.HK,,002910.SZ,,0.8064,,
2015-02-09,1533.HK,,002910.SZ,,0.8053,,
2015-02-10,1533.HK,,002910.SZ,,0.8059,,
2015-02-11,1533.HK,,002910.SZ,,0.8058,,
2015-02-12,1533.HK,,002910.SZ,,0.8057,,
2015-02-13,1533.HK,,002910.SZ,,0.8055,,
2015-02-16,1533.HK,,002910.SZ,,0.8052,,
2015-02-17,1533.HK,,002910.SZ,,0.8082,,
2015-02-25,1533.HK,,002910.SZ,,0.8092,,
2015-02-26,1533.HK,,002910.SZ,,0.8086,,
2015-02-27,1533.HK,,002910.SZ,,0.8081,,
2015-03-02,1533.HK,,002910.SZ,,0.8109,,
2015-03-03,1533.HK,,002910.SZ,,0.8106,,
2015-03-04,1533.HK,,002910.SZ,,0.8103,,
2015-03-05,1533.HK,,002910.SZ,,0.8101,,
2015-03-06,1533.HK,,002910.SZ,,0.8094,,
2015-03-09,1533.HK,,002910.SZ,,0.8087,,
2015-03-10,1533.HK,,002910.SZ,,0.809,,
2015-03-11,1533.HK,,002910.SZ,,0.8087,,
2015-03-12,1533.HK,,002910.SZ,,0.809,,
2015-03-13,1533.HK,,002910.SZ,,0.808,,
2015-03-16,1533.HK,,002910.SZ,,0.809,,
2015-03-17,1533.HK,,002910.SZ,,0.8082,,
2015-03-18,1533.HK,,002910.SZ,,0.8051,,
2015-03-19,1533.HK,,002910.SZ,,0.804,,
2015-03-20,1533.HK,,002910.SZ,,0.8008,,
2015-03-23,1533.HK,,002910.SZ,,0.801,,
2015-03-24,1533.HK,,002910.SZ,,0.8007,,
2015-03-25,1533.HK,,002910.SZ,,0.8004,,
2015-03-26,1533.HK,,002910.SZ,,0.8012,,
2015-03-27,1533.HK,,002910.SZ,,0.801,,
2015-03-30,1533.HK,,002910.SZ,,0.8024,,
2015-03-31,1533.HK,,002910.SZ,,0.801,,
2015-04-01,1533.HK,,002910.SZ,,0.8002,,
2015-04-02,1533.HK,,002910.SZ,,0.8005,,
2015-04-03,1533.HK,,002910.SZ,,0.8005,,
