,HK_ticker,HK_close,SH_ticker,SH_close,CNH/HKD,SH_adjclose,SH-HK
2015-01-07,1816.HK,3.35,003816.SZ,,0.8018,,
2015-01-08,1816.HK,3.39,003816.SZ,,0.8013,,
2015-01-09,1816.HK,3.38,003816.SZ,,0.8017,,
2015-01-12,1816.HK,3.36,003816.SZ,,0.8011,,
2015-01-13,1816.HK,3.31,003816.SZ,,0.7998,,
2015-01-14,1816.HK,3.13,003816.SZ,,0.7995,,
2015-01-15,1816.HK,3.2,003816.SZ,,0.7992,,
2015-01-16,1816.HK,3.22,003816.SZ,,0.7983,,
2015-01-19,1816.HK,3.09,003816.SZ,,0.8034,,
2015-01-20,1816.HK,3.16,003816.SZ,,0.8028,,
2015-01-21,1816.HK,3.17,003816.SZ,,0.8024,,
2015-01-22,1816.HK,3.08,003816.SZ,,0.8018,,
2015-01-23,1816.HK,3.13,003816.SZ,,0.8012,,
2015-01-26,1816.HK,3.2,003816.SZ,,0.8049,,
2015-01-27,1816.HK,3.2,003816.SZ,,0.807,,
2015-01-28,1816.HK,3.15,003816.SZ,,0.8055,,
2015-01-29,1816.HK,3.29,003816.SZ,,0.8066,,
2015-01-30,1816.HK,3.29,003816.SZ,,0.8071,,
2015-02-02,1816.HK,3.24,003816.SZ,,0.8089,,
2015-02-03,1816.HK,3.2,003816.SZ,,0.8088,,
2015-02-04,1816.HK,3.18,003816.SZ,,0.8086,,
2015-02-05,1816.HK,3.12,003816.SZ,,0.8061,,
2015-02-06,1816.HK,3.13,003816.SZ,,0.8064,,
2015-02-09,1816.HK,3.14,003816.SZ,,0.8053,,
2015-02-10,1816.HK,3.13,003816.SZ,,0.8059,,
2015-02-11,1816.HK,3.11,003816.SZ,,0.8058,,
2015-02-12,1816.HK,3.17,003816.SZ,,0.8057,,
2015-02-13,1816.HK,3.15,003816.SZ,,0.8055,,
2015-02-16,1816.HK,3.1,003816.SZ,,0.8052,,
2015-02-17,1816.HK,3.13,003816.SZ,,0.8082,,
2015-02-25,1816.HK,3.07,003816.SZ,,0.8092,,
2015-02-26,1816.HK,3.1,003816.SZ,,0.8086,,
2015-02-27,1816.HK,3.13,003816.SZ,,0.8081,,
2015-03-02,1816.HK,3.11,003816.SZ,,0.8109,,
2015-03-03,1816.HK,3.22,003816.SZ,,0.8106,,
2015-03-04,1816.HK,3.27,003816.SZ,,0.8103,,
2015-03-05,1816.HK,3.2,003816.SZ,,0.8101,,
2015-03-06,1816.HK,3.29,003816.SZ,,0.8094,,
2015-03-09,1816.HK,3.21,003816.SZ,,0.8087,,
2015-03-10,1816.HK,3.14,003816.SZ,,0.809,,
2015-03-11,1816.HK,3.11,003816.SZ,,0.8087,,
2015-03-12,1816.HK,3.22,003816.SZ,,0.809,,
2015-03-13,1816.HK,3.18,003816.SZ,,0.808,,
2015-03-16,1816.HK,3.18,003816.SZ,,0.809,,
2015-03-17,1816.HK,3.25,003816.SZ,,0.8082,,
2015-03-18,1816.HK,3.23,003816.SZ,,0.8051,,
2015-03-19,1816.HK,3.21,003816.SZ,,0.804,,
2015-03-20,1816.HK,3.19,003816.SZ,,0.8008,,
2015-03-23,1816.HK,3.19,003816.SZ,,0.801,,
2015-03-24,1816.HK,3.16,003816.SZ,,0.8007,,
2015-03-25,1816.HK,3.18,003816.SZ,,0.8004,,
2015-03-26,1816.HK,3.23,003816.SZ,,0.8012,,
2015-03-27,1816.HK,3.25,003816.SZ,,0.801,,
2015-03-30,1816.HK,3.34,003816.SZ,,0.8024,,
2015-03-31,1816.HK,3.34,003816.SZ,,0.801,,
2015-04-01,1816.HK,3.4,003816.SZ,,0.8002,,
2015-04-02,1816.HK,3.7,003816.SZ,,0.8005,,
2015-04-03,1816.HK,3.7,003816.SZ,,0.8005,,
2015-04-07,1816.HK,3.7,003816.SZ,,0.8005,,
2015-04-08,1816.HK,4.16,003816.SZ,,0.7996,,
2015-04-09,1816.HK,4.41,003816.SZ,,0.8008,,
2015-04-10,1816.HK,4.64,003816.SZ,,0.8018,,
2015-04-13,1816.HK,4.65,003816.SZ,,0.8025,,
2015-04-14,1816.HK,4.3,003816.SZ,,0.8034,,
2015-04-15,1816.HK,4.12,003816.SZ,,0.8021,,
2015-04-16,1816.HK,4.5,003816.SZ,,0.8007,,
2015-04-17,1816.HK,4.49,003816.SZ,,0.7994,,
2015-04-20,1816.HK,4.24,003816.SZ,,0.799,,
2015-04-21,1816.HK,4.25,003816.SZ,,0.8001,,
2015-04-22,1816.HK,4.52,003816.SZ,,0.7998,,
2015-04-23,1816.HK,4.48,003816.SZ,,0.7989,,
2015-04-24,1816.HK,4.48,003816.SZ,,0.7995,,
2015-04-27,1816.HK,4.55,003816.SZ,,0.7994,,
2015-04-28,1816.HK,4.5,003816.SZ,,0.8022,,
2015-04-29,1816.HK,4.45,003816.SZ,,0.8008,,
2015-04-30,1816.HK,4.36,003816.SZ,,0.8002,,
2015-05-04,1816.HK,4.3,003816.SZ,,0.801,,
2015-05-05,1816.HK,4.14,003816.SZ,,0.8014,,
2015-05-06,1816.HK,3.97,003816.SZ,,0.8011,,
2015-05-07,1816.HK,3.9,003816.SZ,,0.8004,,
2015-05-08,1816.HK,4.13,003816.SZ,,0.8011,,
2015-05-11,1816.HK,4.19,003816.SZ,,0.8011,,
2015-05-12,1816.HK,4.3,003816.SZ,,0.8013,,
2015-05-13,1816.HK,4.24,003816.SZ,,0.8009,,
2015-05-14,1816.HK,4.39,003816.SZ,,0.8001,,
2015-05-15,1816.HK,4.39,003816.SZ,,0.8,,
2015-05-18,1816.HK,4.51,003816.SZ,,0.8008,,
2015-05-19,1816.HK,4.46,003816.SZ,,0.8004,,
2015-05-20,1816.HK,4.45,003816.SZ,,0.8008,,
2015-05-21,1816.HK,4.44,003816.SZ,,0.8006,,
2015-05-22,1816.HK,4.46,003816.SZ,,0.7996,,
2015-05-25,1816.HK,4.46,003816.SZ,,0.7996,,
2015-05-26,1816.HK,4.86,003816.SZ,,0.7996,,
2015-05-27,1816.HK,4.78,003816.SZ,,0.8006,,
2015-05-28,1816.HK,4.64,003816.SZ,,0.8003,,
2015-05-29,1816.HK,4.84,003816.SZ,,0.8002,,
